page_no|page_text|gloss_thing
158a| ѹ б҃а прѣмѹдрости и раꙁѹма по соломонѹ• се прьво и едино прошенье моливъша сѧ дати емѹ• и не тъчьѭ приимъша даръ• нъ и похвалена б҃мь• ꙗко добра прошьша• потомь же и вина да отърекѹть сѧ• рѣшѧ бо бж҃ьꙗ кънигꙑ отвръꙁаи своꙗ ѹста словесемъ б҃жьѥмъ• и сѫди всѧ правѣ• и пакꙑ сильнии гнѣвьливи сѫть• вина да не пьѭть да не ꙁабѫдѹть мѫдрости• и правь сѫдити•|
158b| не въꙁмогѫть• немоштьнъимъ• и егда кто раꙁдрѣшити хоштеть вешть съплетенѹ• да поиштеть о неи прьвое чьто б҃ви годѣ есть• и обрѧштеть раꙁдрѣшенье еѧ польꙁьно• прьвꙑи ꙁаконъ повелѣваеть г҃лѧ• не створите неправьдꙑ вь сѫдѣ• и не приложиши съ множьствомь ѹклонити сѫда• и ѹбога не помилѹеши вь сѫдѣ• и не раꙁвратиши сѫда ѹбогаго• да не ꙁьриши на лице ништаго• не подиви|
158c| сѧ лицѫ сильнаго• правьдоѭ сѫдиши искрьнѫмѹ си• и сѫдьꙗ твоꙗ• сѫдъ правьденъ сѫдѧть• и да не поꙁнаѭть лица• и мьꙁдꙑ да не въꙁьмѹть• мьꙁда бо• иꙁемлеть словеса праведникъ• и иеремиꙗ• створите г҃лѧ сѫдьбѫ и правьдѹ• и иꙁемлѣте расхꙑштенаго• иꙁ-д-рѹкꙑ обидѧштаго• инъ же• и иже праведьна сѫдѧть неправедьнаго• мрьꙁъка отъ г҃а|
158d| оба• а иштѧи г҃а• обрѧштеть съ правьдоѫ• и пакꙑ• ср҃це мѫжѫ• да мꙑслить праведьнаа• да отъ б҃а исправѧть сѧ стопꙑ его• и притъчьникъ• ѹмѣеть праведьникъ сѫдити ѹбогꙑимъ• а нечьстивъи не раꙁѹмѣеть раꙁѹма• и пакꙑ• мѫжь мѫдръ• исправлѧꙗ ходить• и начатъкъ пѫти• благѹ творити правьдьное• и иѡвъ• въ правьдѹ рече одѣваахъ сѧ• облѣкохъ|
159a| же сѧ въ сѫдъ• равьно риꙁѣ• и па҇ⷦ• ѹклони сѧ нога моꙗ отъ пѫти• аште же и ѹꙁълихъ сѹдъ слѹгꙑ моего• и си ѹбо о правосѫдьствѣ• добро же помѧнѹти и ап҃лское слово гл҃штее• съмѣеть ли кто отъ васъ вешть имꙑ съ дрѹгомь• сѫдъ приꙗти отъ неправедьнъихъ• а не отъ ст҃ꙑхъ• и прирече• се ѹбо отънѫдь срамъ вамъ есть• ꙗко тѧжѫ имате съ собоѭ• почъто|
159b| ѹбо не паче обидими есте• почъто ѹбо не паче лишими бꙑваете• нъ вꙑ обидите и лишаете• и се братьѭ• или не вѣсте• ꙗко неправедьнии црс҃тва бж҃ьꙗ не наслѣдѧть• никтоже да не мнить• единѣмъ тъчъѭ обьштиимъ вештемъ сѫштиимъ• ключати сѧ о правьдьнѣмь сѫдѣ ꙁаконѹ• и въꙁнакъ лежѧ да храплеть бес плечали• вьсѣмъ бо равьно животворѧштъи|
159c| д҃хъ• повелѣваеть ꙁаповѣдь сьѫ• рече бо дв҃дъ• дх҃омь накажѣте сѧ вьси сѫдѧштии ꙁемли• работаите г҃ю съ страхомь• и радѹите сѧ емѹ съ трепетомь• всѧкъ чл҃къ приимѣте накаꙁанье• еда къгда раꙁгнѣваеть сѧ г҃ъ• и погꙑбнеть отъ пѫти праведнаго• и пакꙑ• блажени хранѧштеи сѫдъ• и творѧштеи правьдѹ въ всѧко врѣмѧ• и аште въ|
159d| истинѹ ѹбо правьдѹ гл҃ете• право сѫдите сн҃ове чл҃чи• аште въ истинѹ ѹбо а не въ лъжѫ• ни по лицемѣрьѭ• чесомѹ ѹбо есть мнѣ рече• не приимьшѹ сѫдиискꙑꙗ власти повелѣнье се• аꙁъ ти рекѹ• б҃ъ съꙁьдавъи чл҃ка• самовластьна и створи• приимъна прилогъ добрꙑнѧ• и ꙁълобꙑ• насажденье многа чѫвьствьꙗ• ꙗко въ малѣ етерѣ мѣстѣлици• слѹжителъ|
160a| чинъ съврьшаѫшта• посаждаеть въ нихъ ꙗко цр҃ѧ блага и праведьна• влчнѧго ѹма• сѫдима ѹбо есть тобоѭ• добръ и ꙁълъ• сирѣчь цѣломѹдрье• и нечистота• ласкрьдье• и поштенье• ꙗрость• и кротость• величаньѥ• и съмѣреньѥ• и отънѫдь всѧка добра дѣтель• тѧжѫ имать съ ꙁълобоѫ• аште ѹбо ѹмъ осѫдить ꙁълобѹ• а оправьдить добрѹ дѣтель• то правѣ|
160b| сѫдилъ есть• и съхранилъ сѫдъ и правьдѹ• аште ли отъ многа питьꙗ ꙁабѫдеть сѧ• то падеть отъ правьдꙑ ꙗко ихоꙁиꙗ• и боленъ бѫдеть ꙗꙁеѫ съмрьтьноѭ• сирѣчь погѹбить расмотренье• и дасть побѣждаѭшт¬ии съсѫдъ ꙁълобѣ• и ѹмьреть вѣчьноѫ съмрьтиѫ• симь же съвѣдѣтельствѹе и г҃ь г҃лѧ• чъто же и сами о себѣ не сѫдите правьдꙑ• ѥгда бо грѧдеши|
160c| съ сѫпьремь своимь на пѫти• даждь дѣланье иꙁбꙑти отъ него• да не привлѣчеть тебѣ къ сѫдии• и сѫди тѧ прѣдасть практорѹ• и практоръ въсадить тѧ въ темницѫ• аминъ г҃лѫ тебѣ• не иꙁидеши отътѹдѹ• дон͗деже въꙁдаси послѣдьнии кодрантъ• томѹ слава единомѹ чл҃клцѫ и праведнѭ сѫдии• въ вѣкꙑ вѣкомъ|
160d| АМИН о҃е ⁘ Ꙍ ПРАВЬДЬНѢ ⁘ ⁘ МѢРЕНИИ: ⁘ Всѧ праведьнаа б҃ви• люба сѫть и благогодьна• ꙗкоже бо праведьнъ и сѫдъ• тако и правьдьное мѣренье любить б҃ъ• правьденъ бо сꙑ• промꙑшлѧеть праведникѹ• въ истинѫ же и правьномѣреньѭ• неподобно есть• и в͗сѧкоꙗ неправьдꙑ• пѹште|
161a| сѹгѹбѣ мѣрѣ имѣти• малѹ и великѫ• тѣмьже и пр҃къ амосъ• негодѹꙗ ослѹшивъихъ лютѣ рече• желаѭштѹмѹ дьни г҃нѧ• и тъ есть тьма• сътворити малѹ мѣрѹ и мѣрило неправедно• тажде и михеа• аште оправьдѧть сѧ г҃лѧ• въ мѣрилѣ беꙁаконнѣ• и въ врѣтишти ставила лестьна• си ѱал͗мопѣвьць• лъжїви бо рече сн҃ве чл҃чи• въ мѣрилѣхъ не оправьдити• и покаꙁаꙗ|
161b| ѧко лихоимьства есть недѹгъ• и приносить• ти отъ сѫетꙑ въкѹпѣ не ѹпъваите на неправьдѹ• и на въсхꙑштеньѥ не желаите• богатьство аште мимотѣкаеть• не прилагаите ср҃ца• и ꙁаконъ повелѣваеть г҃лѧ• въ мѣрахъ и въ ставилѣхъ• и въ мѣрилѣхъ праведьнаа да бѫдѹть вамъ• и пакꙑ• не прилагаи рече прѣдѣлъ ꙗже положишѧ оц҃и твои• пр҃къ же софониꙗ• сѫдъ дѣлаите•|
161c| и правъдꙑ иштѣте• да покръвени бѫдете въ дьнь гнѣва г҃нѧ• такожде же иѥꙁекиль• сѫдъ и правьдѹ створите г҃лѧ• мѣрило праведно• и мѣрила праведна• и хуниѯъ• праведьно да бѫдеть вамъ• притъчьникъ же• мѣрила лестьна мрьꙁость прѣдъ г҃мь• мѣрило же праведьно приꙗто имь• и пакꙑ• ставило велико и мало• и мѣрꙑ сѫгѹбꙑ• нечисто ѥсть прѣдъ г҃мь и обоѥ• и творѧи|
161d| та• въ животѣ своемь съблаꙁнить сѧ• обаче мнима сѫть си• многъими ничесомѹже достоина сѫшта• нъ ничъсоже спꙑти нашѫть• б҃годъхновенꙑꙗ книгꙑ бесѣдѹѫть• все же на сп҃сенье наше• и жиꙁнь вѣчьнѫѭ• прѣс҃тꙑ ѹꙁаконилъ есть д҃хъ• хранимъ сѧ ѹбо въꙁлюблении• страсти лихоимьства• въторꙑꙗ идололатриꙗ• семѹ бо кажеми ѥсмъ равьномѣрениимь• ꙗкоже и г҃ь нашь і҃у х҃ъ|
162a| въ евангельи повелѣваѥть г҃лѧ• даите и дасть сѧ вамъ• мѣрѹ добрѹ натъканѫ дадѧть на лоно ваше• тоѭ мѣроѭ еѫже мѣрите• въꙁмѣрить сѧ вамъ томѹ слава въ вѣкꙑ вѣкомъ АМИН о҃ꙅ ⁘ Ꙍ ПОКААНИИ ⁘ Коль сладъко есть браⷮ҇е моꙗ покаанье• ничьтоже ино нъ корень животѹ• паче же ꙗко и сладькъї|
162b| нашь• неꙁълобивъи единъ благъ• щедръи чл҃ць• д҃шелюбьць• нищелюбьць• строитель сп҃ньѭ нашемѹ• присно жадаеть покааньꙗ нашего• веселить бо сѧ о сльꙁахъ каѭщиихъ сѧ• радѹеть сѧ о исповѣдании нашемь• веселить сѧ о съмѣренѣмь и скрѹшенѣмь ср҃ци• и съ многомь трьпѣньѥмь пожидаѥть обращениꙗ нашего• и не прѣстаеть до послѣдьнѧго въꙁдꙑханьꙗ|
162c| нашего• молѧ и бѣдѧ ѥдиного къгождо насъ• отъ многъихъ ꙁълъ• и непрьꙗꙁнинъ дѣлъ къ немѹ обращати сѧ• ꙗкоже въпьеть пр҃комь г҃лѧ• по сихъ всѣхъ къ мнѣ въꙁвратите сѧ• и ѥще далече сѫштемъ намъ притечеть и обьметь и облобꙑꙁаѥть• опещренѫѭ и гнꙋсивѫѭ и скврьнивѫѭ нашѫ вꙑѭ• и не поносить о прьвъихъ нашихъ грѣсѣхъ• нъ обѣштаваѥть грѧдѹщаа|
